City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Qaanaaq,GL,77.484,-69.3632,36.54,75,93,5.75,overcast clouds
134,Gujan-Mestras,FR,44.6333,-1.0667,59.47,88,0,6.58,clear sky
135,Clyde River,CA,70.4692,-68.5914,32.23,100,90,16.11,light rain
136,Iqaluit,CA,63.7506,-68.5145,31.73,93,90,8.01,overcast clouds
137,Faanui,PF,-16.4833,-151.75,80.76,73,13,10.54,few clouds
138,Nizhniy Ingash,RU,56.2,96.53,51.1,63,100,10.8,overcast clouds
139,Flinders,AU,-34.5833,150.8552,64.18,53,5,1.01,clear sky
140,Castro,BR,-24.7911,-50.0119,58.46,81,100,3.44,overcast clouds
141,Okha,RU,53.5739,142.9478,35.35,97,100,19.6,light rain
142,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.96,86,13,10.31,few clouds
143,Hilo,US,19.7297,-155.09,83.28,69,75,11.5,broken clouds
144,Manono,CD,-7.3,27.4167,74.03,58,56,8.9,broken clouds
145,Nikolskoye,RU,59.7035,30.7861,53.49,65,100,3.96,overcast clouds
146,Turukhansk,RU,65.8167,87.9833,31.68,83,100,15.32,overcast clouds
147,Senneterre,CA,48.3835,-77.2328,57.51,79,79,5.61,broken clouds
148,Alindao,CF,5.0267,21.2088,70.07,93,100,1.16,overcast clouds
149,Bengkulu,ID,-3.8004,102.2655,77.18,90,15,2.95,few clouds
150,Anastacio,BR,-20.4836,-55.8069,76.84,34,100,4.09,overcast clouds
151,Kimbe,PG,-5.5502,150.1429,89.74,56,15,2.59,few clouds
152,Tasiilaq,GL,65.6145,-37.6368,42.96,98,100,3.74,overcast clouds
153,Georgetown,MY,5.4112,100.3354,80.89,86,20,1.01,few clouds
154,Charters Towers,AU,-20.1,146.2667,66.88,34,77,8.34,broken clouds
155,Saldanha,ZA,-33.0117,17.9442,62.17,35,10,12.93,clear sky
156,Eenhana,NA,-17.4667,16.3333,55.69,34,0,13.56,clear sky
157,Surt,LY,31.2089,16.5887,69.28,70,6,11.05,clear sky
158,Pisco,PE,-13.7,-76.2167,63.01,87,5,0.49,clear sky
159,Puerto Ayora,EC,-0.7393,-90.3518,73.54,89,13,3.0,few clouds
160,Gat,IL,31.61,34.7642,67.41,100,0,1.32,clear sky
161,Morgantown,US,39.6295,-79.9559,76.71,72,0,1.01,clear sky
162,Henties Bay,NA,-22.116,14.2845,77.86,27,0,25.23,clear sky
